,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
6698,0,Braveart Films,USA,Susan Johnson,Comedy,19025,Carrie Pilby,Not specified,04-04-2017,98.0,6.6,Bel Powley,2617.0,Kara Holden,2016.0
6699,28000000,George Films,UK,Brad Furman,Biography,15425870,The Infiltrator,R,13-07-2016,127.0,7.0,Bryan Cranston,50194.0,Ellen Sue Brown,2016.0
6700,0,Next Entertainment World,South Korea,Sang-ho Yeon,Action,2129768,Estación Zombie: tren a Busan,NOT RATED,09-12-2016,118.0,7.5,Yoo Gong,72896.0,Joo-Suk Park,2016.0
6701,27500000,Lionsgate,USA,Dan Mazer,Comedy,35537564,Dirty Grandpa,R,22-01-2016,102.0,6.0,Robert De Niro,82289.0,John Phillips,2016.0
6702,70000000,RatPac-Dune Entertainment,USA,Nicholas Stoller,Animation,72655779,Storks,PG,23-09-2016,87.0,6.8,Andy Samberg,40740.0,Nicholas Stoller,2016.0
6703,0,BBC Films,UK,Lone Scherfig,Comedy,3595841,Their Finest,R,07-04-2017,117.0,6.8,Gemma Arterton,8538.0,Gaby Chiappe,2016.0
6704,6000000,CG Cinéma,France,Olivier Assayas,Drama,1305195,Personal Shopper,R,10-03-2017,105.0,6.2,Kristen Stewart,16843.0,Olivier Assayas,2016.0
6705,25000000,Broadway Video,USA,Jared Hess,Action,17356894,Masterminds,PG-13,30-09-2016,95.0,5.8,Zach Galifianakis,34656.0,Chris Bowman,2016.0
6706,0,Sixty Six Pictures,UK,William Oldroyd,Drama,1007759,Lady Macbeth,R,14-07-2017,89.0,7.0,Florence Pugh,6087.0,Nikolai Leskov,2016.0
6707,3000000,Blackbird,USA,Dan Kwan,Adventure,4208879,Swiss Army Man,R,01-07-2016,97.0,7.0,Paul Dano,69827.0,Daniel Scheinert,2016.0
6708,38000000,Columbia Pictures,USA,J Blakeson,Action,34912982,The 5th Wave,PG-13,22-01-2016,112.0,5.2,Chloë Grace Moretz,76535.0,Susannah Grant,2016.0
6709,0,Nicholas Sparks Productions,USA,Ross Katz,Drama,18709066,The Choice,PG-13,05-02-2016,111.0,6.6,Benjamin Walker,22972.0,Bryan Sipe,2016.0
6710,135000000,Paramount Pictures,USA,Dave Green,Action,82051601,Teenage Mutant Ninja Turtles: Out of the Shadows,PG-13,03-06-2016,112.0,6.0,Megan Fox,64684.0,Josh Appelbaum,2016.0
6711,60000000,Millennium Films,UK,Babak Najafi,Action,62524260,London Has Fallen,R,04-03-2016,99.0,5.9,Gerard Butler,106352.0,Creighton Rothenberger,2016.0
6712,9000000,Allspark Pictures,USA,Mike Flanagan,Horror,34904885,Ouija: Origin of Evil,PG-13,21-10-2016,99.0,6.1,Elizabeth Reaser,35690.0,Mike Flanagan,2016.0
6713,0,Aamir Khan Productions,India,Nitesh Tiwari,Action,12391761,Dangal,UNRATED,21-12-2016,161.0,8.7,Aamir Khan,70565.0,Piyush Gupta,2016.0
6714,35000000,Good Universe,USA,Nicholas Stoller,Comedy,55291815,Neighbors 2: Sorority Rising,R,20-05-2016,92.0,5.7,Seth Rogen,83340.0,Andrew Jay Cohen,2016.0
6715,60000000,Laika Entertainment,USA,Travis Knight,Animation,48023088,Kubo and the Two Strings,PG,19-08-2016,101.0,7.8,Charlize Theron,82575.0,Marc Haimes,2016.0
6716,35000000,Miramax,Ireland,Sharon Maguire,Comedy,24252420,El bebé de Bridget Jones,R,16-09-2016,118.0,6.6,Renée Zellweger,48197.0,Helen Fielding,2016.0
6717,20000000,Worldview Entertainment,USA,John Hillcoat,Action,12626905,Triple 9,R,26-02-2016,115.0,6.3,Casey Affleck,51631.0,Matt Cook,2016.0
6718,22000000,Working Title Films,UK,Ethan Coen,Comedy,30080225,"Hail, Caesar!",PG-13,05-02-2016,106.0,6.3,Josh Brolin,94361.0,Joel Coen,2016.0
6719,8000000,Lakeshore Entertainment,USA,William Brent Bell,Horror,35794166,The Boy,PG-13,22-01-2016,97.0,6.0,Lauren Cohan,55856.0,Stacey Menear,2016.0
6720,6000000,Verdi Productions,USA,Ben Younger,Biography,4847865,Bleed for This,R,18-11-2016,117.0,6.8,Miles Teller,15158.0,Ben Younger,2016.0
6721,30000000,FilmNation Entertainment,USA,Woody Allen,Comedy,11103205,Café Society,PG-13,05-08-2016,96.0,6.7,Jesse Eisenberg,50826.0,Woody Allen,2016.0
6722,170000000,Walt Disney Pictures,USA,James Bobin,Adventure,77042381,Alice Through the Looking Glass,PG,27-05-2016,113.0,6.2,Mia Wasikowska,62895.0,Linda Woolverton,2016.0
